Sample	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138
Ch14_1_CKDL220004210-1a-1_HHJWNBBXX_L7_1 - illumina_universal_adapter	0.00013196818921462112	0.0001955084284661054	0.00044478167476038976	0.0008944510602324321	0.0012268153886248114	0.0016520462205385905	0.0021750312666854225	0.0025611604129059805	0.0028984124520100123	0.004328067835168408	0.005361818650682941	0.0068183564427554254	0.008091605083140937	0.009636121668023169	0.011896687872162512	0.014240345158399951	0.016486248230404336	0.018165176859857017	0.02001517536421754	0.02160123749014882	0.02329971696244811	0.025198592573925156	0.02743227636915041	0.02912586813073805	0.03099541747794518	0.03243240442717106	0.03379118800501049	0.03588068433424199	0.03809237343126481	0.039482927128729986	0.040849042272636894	0.042391115002163304	0.04396740170667127	0.04589560358241824	0.04774804594213459	0.04988397552312679	0.05204189980232143	0.0547228091276629	0.05806844710978913	0.06208614531476759	0.06766057938140743	0.0758963719305421	0.08639028682846031	0.10175480545054037	0.12393768051537586	0.15511883100036383	0.2008678032614325	0.26308836062077057	0.3452458899729397	0.459031795340213	0.6189894599451129	0.8315633303609535	1.1099966587609575	1.456315401235105	1.8993912649571278	2.453733419174567	3.1501344413708345	3.965055116758611	4.886821148303113	5.947723196820876	7.17056732049247	8.558215273939567	10.058771788681195	11.659892951315078	13.346610147786777	15.148689536330256	17.10243214440096	19.099797570573166	21.0995017663209	23.089227700650788	25.129820040356847	27.183858472230668	29.266763723567504	31.310467091141533
Ch14_1_CKDL220004210-1a-1_HHJWNBBXX_L7_2 - illumina_universal_adapter	0.00012708047850296851	0.0001661821641961896	0.00031770119625742127	0.0005718621532633583	0.0007820337138644216	0.0010361946708703587	0.001339232734992822	0.0015542920063055378	0.001871993202562959	0.0032478837678931757	0.004259639885205271	0.005476679852406777	0.006642398857135931	0.00815025761168077	0.01031795731229871	0.01266161459853615	0.014936843934810451	0.016627991841042265	0.01885190021484421	0.020369534390812356	0.0219898104917252	0.023839808996085725	0.02604661038239689	0.02775730913147531	0.02967084787508732	0.03117626277427633	0.03260591815743473	0.03482493882052502	0.03721502935852316	0.038713112691644694	0.04025274156581528	0.041980547302384486	0.04374256701393525	0.045927373702043986	0.048048640150901226	0.05041184827998527	0.0528385966483208	0.05587630885561292	0.05943456225369603	0.06374796695672949	0.06953012872861455	0.07786611934733813	0.08849200243447095	0.10382963864763692	0.12572902649119655	0.15647761457820325	0.20142744613791674	0.2623429847372435	0.34271649967965945	0.4536064364502786	0.6091456105718445	0.8153483500750459	1.0851108796725781	1.419068601756956	1.846894808058623	2.381989157493574	3.0546114670776516	3.8416062073144004	4.7293757670040035	5.7506678079145335	6.929393010847393	8.264874427869023	9.708848359557205	11.24914196238457	12.871996330697815	14.60295219682068	16.47441752662678	18.38210568051694	20.289004469127164	22.183676649392194	24.123477062657912	26.073751839978698	28.050762394892224	29.98457536253617
Ch14_2_CKDL220004210-1a-3_HHJWNBBXX_L7_1 - illumina_universal_adapter	0.0002117121045814624	0.00032794620121442215	0.0005853217009016902	0.001166492184066489	0.001523496909439151	0.0018929552880224874	0.002258262448868932	0.0028352817142968394	0.0032504034879859817	0.004512373680000973	0.005728680476910159	0.0073227480878764635	0.008763220642577788	0.010685234454758514	0.013312955282210784	0.015816139577556308	0.018562170110509982	0.020739483813509534	0.0230766193993794	0.025071279521955727	0.027076317688874283	0.029210043605636473	0.0317360595985349	0.03377223189848014	0.03595992364582192	0.03762871317605227	0.039399207540836464	0.041856728441076185	0.04455709557892405	0.04641684112505141	0.04824960375588897	0.05005330786256829	0.05192135584416943	0.053874503789376846	0.056045590665771056	0.05851556521922145	0.06113705922006838	0.06433349687747478	0.0678724099981747	0.07244082511762372	0.07869463463825063	0.0876923990829628	0.09971847686673724	0.11676960372101874	0.14020115223690238	0.17459191557817932	0.2247842892349335	0.29452889843244623	0.38631439820398394	0.5118202396522906	0.687441657229219	0.924364107126823	1.2330133726913055	1.6158199919076162	2.098652278103194	2.699922957550021	3.4555338368456026	4.334330026874569	5.322023036186539	6.436261766989906	7.716295982986981	9.147511322135035	10.6895371919428	12.314029077702784	14.01802508555971	15.82981368878163	17.798786076002074	19.775425762382554	21.737044267382096	23.68284663280408	25.668986380975433	27.675994300710144	29.69213074824828	31.655851845031556
Ch14_2_CKDL220004210-1a-3_HHJWNBBXX_L7_2 - illumina_universal_adapter	0.00014529262079119969	0.00018265358042322247	0.0002947364593192908	0.0006143802250599301	0.0009132679021161123	0.001129131224434466	0.001415565248279974	0.0017642675381788534	0.002146179569972864	0.0032939912742233415	0.004352551797130653	0.005734907303515497	0.007073675023662979	0.008904362045632094	0.011419999994188294	0.013848462370269776	0.01656128316132832	0.018703311513564292	0.021299898207989873	0.02328418028622397	0.02519789166293092	0.02717387130569123	0.029596106855167375	0.03157416210679614	0.03377015628961169	0.0355095165213692	0.03735058158768055	0.039845463447552285	0.042620552504664205	0.0446048345828983	0.04660779714094841	0.04861491091673542	0.050607495430443294	0.052871984705917564	0.05523402759820878	0.05796760447795178	0.06082364228093308	0.06431481639765876	0.06808204649388772	0.07282688836715462	0.07925504903273098	0.08837735000954988	0.10039720096671897	0.11731341324455152	0.14044607408337895	0.1741228279739106	0.22316946553528272	0.29108131210195787	0.38042382023533505	0.5020711047972012	0.6720966808647999	0.9008287781675172	1.1985852483903965	1.5666280617254529	2.030906480245995	2.608712401435043	3.335621761297757	4.181253872826697	5.129151233303958	6.197782610440968	7.425438836642815	8.796691911190342	10.273008155440854	11.829588194634162	13.460871472611696	15.1938512827076	17.071552921155877	18.94994988857509	20.809929978504577	22.650889188763635	24.52664598170218	26.420857013090078	28.3222558779894	30.167198181667004
Ch14_3_CKDL220004210-1a-8_HHJWNBBXX_L7_1 - illumina_universal_adapter	0.00011864771269456372	0.0001878588784330592	0.00031145024582322973	0.00063773145573328	0.0008008720606883051	0.001077716723642287	0.0015177019915512942	0.0018983634031130194	0.0022048699942406424	0.003524825797967664	0.004291092275786721	0.0052748795602124785	0.006448997550419099	0.007586038130408666	0.009484401533521685	0.01140748321011274	0.014341542271955388	0.015861716090854485	0.01795041019974837	0.019678217515862954	0.02139366569523852	0.023257423515482288	0.026038229281761128	0.02785749420974444	0.029580357871163414	0.030818743372412923	0.03217083293166138	0.03512713843963427	0.038360288610561136	0.039922483494372885	0.041499509342271465	0.04318529559347339	0.04489827194550115	0.04679663534861417	0.04904105458041967	0.051982529124305725	0.055084672445799	0.05885420915119921	0.06363225141450321	0.06937183451610272	0.07771919546963484	0.08916128426261682	0.10432841686873856	0.1253142310515895	0.15629858685630527	0.1997928608682541	0.26297771153280486	0.3485325996949765	0.45822982556314407	0.6075455001619048	0.8164223265333364	1.093847868914052	1.4509354630597762	1.8820320398260821	2.4281625177044632	3.099955754290474	3.9292340548597364	4.872391913169649	5.930462553051594	7.137334727443958	8.513912680227111	10.025368364070506	11.635370860616128	13.349073929884145	15.136214989655404	17.02276552987327	19.07568982521709	21.11152637810554	23.12099347684763	25.11669249726245	27.150638102229834	29.16276735902551	31.192048625787585	33.176678803338945
Ch14_3_CKDL220004210-1a-8_HHJWNBBXX_L7_1 - polya	0.0021752080660670014	0.0026844044997145038	0.003015629364320161	0.0032479811350136817	0.0036632481294446547	0.004019191267528346	0.004404796333785678	0.00553689325907964	0.006535511507592217	0.007766481526798316	0.00852286069522616	0.00937811295756614	0.010243252529297333	0.011313553770896212	0.01247284079701601	0.013402247879790092	0.014526929323040644	0.015485998333988367	0.016309116840806902	0.017179200067233703	0.018041867811617096	0.0189885776858258	0.01980675253794873	0.020674363937027727	0.021658151221453485	0.02245160780009838	0.023245064378743276	0.02403357730269256	0.02487152677359792	0.025840483093936856	0.02672045362975487	0.027642445230485542	0.028574324140607427	0.02965204086424971	0.030717398451152983	0.05465704631462902	0.07959036877192202	0.08053955047347852	0.08154311237668671	0.08273700498567577	0.08398527779631648	0.08510254375752363	0.08630879550325168	0.08738404039954617	0.08854827108036159	0.08971497358852479	0.09078280300277586	0.0918234423162011	0.09290857452188679	0.09388988997896475	0.09497007852995484	0.09613183738342243	0.09734550461119391	0.09861108021326925	0.09976789541204126	0.10083078117159672	0.10186153317563075	0.10299115827357691	0.10394281180248122	0.10505760593634056	0.10603150591137511	0.10700540588640964	0.10802132692635685	0.10891365659891387	0.10990980302007866	0.11086145654898297	0.11166232860967126	0.11238657402257768	0.11326901638574349	0.11417370519503953	0.1150116546659449	0.11568893535924302	0.11637610336193238	0.11718191907731629
Ch14_3_CKDL220004210-1a-8_HHJWNBBXX_L7_2 - illumina_universal_adapter	0.0001137040579989569	0.00012853502208577734	0.00020763349721548648	0.0004943654695606821	0.0006822243479937413	0.0008453649529487665	0.0010628857595554667	0.0013743360053786963	0.0016363497042458579	0.0029093407883646143	0.003579205999619339	0.004459176535437353	0.005519590467645016	0.006636856428852158	0.008562409932791015	0.010554702775120564	0.01354561386596269	0.015137470677948087	0.017871311724618658	0.019596647213385436	0.021302208083369793	0.023173381385656975	0.026028341972369914	0.027926705375482933	0.029926413699855894	0.03133782711545164	0.03289260651721999	0.03595272877380061	0.03937373782316053	0.04111143244866633	0.04299990854238813	0.04489332829080554	0.04681146631270099	0.04901880813428944	0.051648832432352264	0.055119278028668256	0.05859466727967985	0.06273003443255495	0.06773054115716126	0.07372966613028013	0.08242802656720033	0.09414201636844069	0.10940802206847455	0.13035923066845628	0.16107910094695704	0.20374778462473953	0.2656176231402589	0.34920246490623125	0.4563833705343349	0.6022607332923009	0.805222476820439	1.0740510036854944	1.4198497623338007	1.8363526704386752	2.364569815527525	3.013790324773395	3.815591792544474	4.72704599329146	5.74799967371879	6.911780481956896	8.240573068452314	9.698002021954771	11.24744227665186	12.898813275690319	14.620270467348396	16.434349501556014	18.40285594931765	20.347650157331813	22.265429764261825	24.166158706146696	26.10099392177655	28.012937544338403	29.940297954068505	31.818560457189186
Ch14_3_CKDL220004210-1a-8_HHJWNBBXX_L7_2 - polya	0.002026898425198797	0.002679460845018897	0.0030749532206674427	0.003317192300752177	0.0036681917841402613	0.0039994166487459185	0.004360303441525216	0.005393527272907042	0.0064020328308108335	0.007739291425972479	0.008606902825051476	0.00947945787882608	0.01032729465912265	0.011427257828895167	0.012556882926841326	0.01363954330517922	0.01481366129538584	0.015891378019028124	0.016773820382193945	0.017774910458054325	0.018607916274264075	0.01956204163051619	0.020469202267160043	0.021344229148282448	0.022236558820839483	0.023109113874614083	0.02412009125986568	0.024992646313640284	0.025862729540067086	0.026784721140797756	0.027827832281570798	0.028954985552169153	0.11424786001547363	0.2036439678761318	0.20506032494642312	0.20617017542558688	0.20716385001940385	0.2082143766422203	0.20942804386999175	0.21056508444998134	0.2117045968573187	0.21288860215691652	0.21403800187364513	0.21520223255446053	0.21635163227118914	0.2175702431536562	0.2186652626687331	0.2198764580691568	0.22129034331210035	0.22268198210891366	0.2238659874085115	0.225230436104499	0.2263328711016193	0.22729194011256704	0.2282188753679933	0.22934108498389605	0.23033970323240863	0.23146191284831136	0.2325025521617366	0.23346903665472774	0.2343935000828062	0.2352536959998418	0.23611883557157298	0.236986446970652	0.2378590020244266	0.23870931063207096	0.23949782355602026	0.24049644180453283	0.24138877147708987	0.2422069463292128	0.24326736026142046	0.2443969853593666	0.24549694852913914	0.24693802387290853
EP08_1_CKDL220004210-1a-9_HHJWNBBXX_L7_1 - illumina_universal_adapter	8.614988123225345e-05	0.0001418939220295939	0.00024324672347930383	0.0005675756881183756	0.000684131409785542	0.0010135280144970994	0.001368262819571084	0.0015608331423255328	0.0017534034650799819	0.0031267339247235517	0.0038868799355963757	0.004788919868498795	0.005637749580640115	0.006598067374376116	0.008341335559311127	0.010158084525297179	0.012423319637698195	0.013530598993536275	0.015228258417818916	0.01644702585525168	0.01774940935388045	0.0192697013756261	0.02191500949346353	0.02333394871375947	0.024763023214200378	0.025804423249096146	0.027030792146637637	0.029901610247700675	0.032957397211409424	0.03450049361348126	0.03574713307131269	0.03721674869233349	0.038714236333752955	0.04068554832194981	0.04294824961431458	0.045578354811934556	0.04801588968680008	0.050998195869457794	0.05471277604258966	0.059765213194857704	0.0665761214522782	0.07668859721692302	0.08953759862071	0.10769495300042553	0.13367420983202244	0.17034872103659998	0.22350066393686407	0.2966849880436634	0.3895646952921776	0.5213360062769817	0.7097990067526811	0.958161512885159	1.283075789952603	1.6848991065801229	2.2012637579459966	2.834085311997623	3.6201396327410293	4.51620988563806	5.531182177555817	6.71448373594129	8.058910910431438	9.52744965793683	11.089493966239687	12.77823687781479	14.565335081736727	16.43353072973865	18.46865190790821	20.483461984667247	22.4815640521073	24.488519286753984	26.543829942972327	28.5368998438204	30.55605795576163	32.56760953995406
