Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0
Ch14_1_CKDL220004210-1a-1_HHJWNBBXX_L7_1										14.960349012212173	5.9191436735480805	12.519860542468725	6.689179981262761	16.06822694777489	3.586563661008979	1.2589696052573351																																																																																																																																																									
Ch14_1_CKDL220004210-1a-1_HHJWNBBXX_L7_2										13.473427332442267	5.097775214204334	11.191891713586626	6.291264263054039	14.147983865670783	2.6249175359814574	0.9455856672556204																																																																																																																																																									
Ch14_2_CKDL220004210-1a-3_HHJWNBBXX_L7_1										16.68532120062399	7.143946292866192	14.277200946828838	5.671097033104557	10.90854472198759	2.4079927383794026	1.0670289748819175																																																																																																																																																									
Ch14_2_CKDL220004210-1a-3_HHJWNBBXX_L7_2										14.060849534809556	5.9631816622534926	11.957968887281309	5.1159059146808294	9.021245844571451	1.8902024745902215	0.5758885912468777																																																																																																																																																									
Ch14_3_CKDL220004210-1a-8_HHJWNBBXX_L7_1										11.245547933069867	4.244253417109556	10.645555112665136	7.649643362778631	22.63635537519323	6.154810424267514	7.0160103546492465																																																																																																																																																									
Ch14_3_CKDL220004210-1a-8_HHJWNBBXX_L7_2										10.461868842687899	3.921245286153749	10.042726830985922	7.290189005937478	20.683488016049033	5.482846135905368	5.031499121035389																																																																																																																																																									
EP08_1_CKDL220004210-1a-9_HHJWNBBXX_L7_1										8.333256977122177	3.2324102944908075	9.901940319285146	7.962358267386499	27.818663803920334	10.452349678964046	8.62544932172023																																																																																																																																																									
EP08_1_CKDL220004210-1a-9_HHJWNBBXX_L7_2										8.030722182703041	2.8939930555335125	9.10549345837305	7.574743880270363	25.48055145047342	8.767792754993081	6.955553033721085																																																																																																																																																									
EP08_2_CKDL220004210-1a-10_HHJWNBBXX_L7_1										8.229710253170875	3.336824363654685	8.963111991715571	6.926480488779831	27.89938035745149	10.984233256428022	10.198218780477152																																																																																																																																																									
EP08_2_CKDL220004210-1a-10_HHJWNBBXX_L7_2										7.9010045310103205	2.9545111086069284	8.14715302790735	6.784879586833628	26.103437891367754	9.675291672012792	8.246103539480945																																																																																																																																																									
EP08_3_CKDL220004210-1a-11_HHJWNBBXX_L7_1										6.875727294651552	2.6973286624449173	9.110890732855385	8.07570626687796	30.84647805910365	11.695985082487951	9.902573519999754																																																																																																																																																									
EP08_3_CKDL220004210-1a-11_HHJWNBBXX_L7_2										6.868590688726189	2.426720465880234	8.494497839229364	7.630532388253422	28.053585486218047	10.032812346867031	7.820211216198787																																																																																																																																																									
Se17_1_CKDL220004210-1a-22_HHJWNBBXX_L7_1										16.10214533605858	6.670887725364913	13.452567865880702	5.921520521379691	11.067842631203947	2.5282973693477038	2.4940970088987373																																																																																																																																																									
Se17_1_CKDL220004210-1a-22_HHJWNBBXX_L7_2										14.349400576152819	5.75345876165777	11.579703172677249	5.3161560713505525	9.513159064450514	2.275901215442012	1.4808402267596614																																																																																																																																																									
Se17_2_CKDL220004210-1a-23_HHJWNBBXX_L7_1										16.78790199725267	7.074918246653289	14.495166004711468	6.100525632345068	10.469473804618334	1.8858827248365047	1.9927779531267464																																																																																																																																																									
Se17_2_CKDL220004210-1a-23_HHJWNBBXX_L7_2										14.669632603724523	5.956075848901938	12.432864476978441	5.4478995233023655	9.129756347412957	1.6925627906057703	0.840945492595659																																																																																																																																																									
Se17_3_CKDL220004210-1a-25_HHJWNBBXX_L7_1										11.798954465100696	4.379727981001878	10.719210825172217	6.886816084621639	20.450917138637834	6.300224537022084	6.470225589553291																																																																																																																																																									
Se17_3_CKDL220004210-1a-25_HHJWNBBXX_L7_2										10.80779021707076	3.922726766395326	9.740455121877881	6.449708920685854	18.29293199933175	5.735687057721195	4.652696710971381																																																																																																																																																									
