Sample	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
Ch14_1_R1_p	13188.0	16239.0	16768.0	17336.0	16968.0	16499.0	17425.0	18880.0	24826.0	37321.0	62517.0	118620.0	208969.0	346271.0	501486.0	693280.0	843235.0	986362.0	1039108.0	1068225.0	1058451.0	1016586.0	1100368.0	10356384.0
Ch14_1_R2_p	67036.0	78577.0	75807.0	73186.0	71278.0	68903.0	67215.0	73988.0	89895.0	101809.0	125651.0	175192.0	257544.0	394502.0	546690.0	732085.0	875845.0	1020604.0	1074544.0	1116532.0	1106252.0	1054834.0	1261644.0	9085699.0
Ch14_2_R1_p	16556.0	20223.0	20360.0	20890.0	20829.0	19994.0	20513.0	22242.0	29904.0	45679.0	77857.0	150515.0	264386.0	437072.0	624148.0	842295.0	1005225.0	1161498.0	1200121.0	1221601.0	1198782.0	1149239.0	1232802.0	12131130.0
Ch14_2_R2_p	87649.0	102575.0	97744.0	94458.0	91164.0	88613.0	86582.0	94866.0	115125.0	130259.0	160982.0	226110.0	330470.0	499494.0	682782.0	892068.0	1048576.0	1205451.0	1244921.0	1279963.0	1258250.0	1197035.0	1456239.0	10462485.0
Ch14_3_R1_p	15461.0	18923.0	19357.0	19169.0	19204.0	18586.0	19622.0	21484.0	28926.0	45364.0	76628.0	145711.0	250978.0	404638.0	561792.0	752544.0	885932.0	1017186.0	1030225.0	1041411.0	1008922.0	952111.0	1007610.0	9473475.0
Ch14_3_R2_p	67710.0	78909.0	75414.0	72636.0	70110.0	68354.0	66671.0	74269.0	91272.0	107461.0	136623.0	200410.0	297146.0	449555.0	603673.0	788408.0	915455.0	1046265.0	1064598.0	1089810.0	1059367.0	993533.0	1179009.0	8238601.0
EP08_1_R1_p	12653.0	15888.0	16893.0	16887.0	16987.0	16594.0	18050.0	19846.0	26317.0	39663.0	66448.0	130393.0	230442.0	375263.0	530465.0	718131.0	853583.0	986733.0	1000069.0	1017967.0	993763.0	944035.0	1020343.0	9762675.0
EP08_1_R2_p	64018.0	75573.0	72636.0	70482.0	68807.0	66070.0	64281.0	71272.0	86362.0	99055.0	123800.0	181035.0	274378.0	417336.0	570607.0	752080.0	882322.0	1017677.0	1036999.0	1070062.0	1048317.0	989184.0	1201424.0	8526311.0
EP08_2_R1_p	14919.0	18380.0	20238.0	20332.0	20664.0	20214.0	22162.0	23958.0	33774.0	53336.0	91696.0	177999.0	312624.0	505724.0	708298.0	948513.0	1116473.0	1277954.0	1292697.0	1312230.0	1271817.0	1210446.0	1299604.0	12544903.0
EP08_2_R2_p	83217.0	97868.0	94432.0	91472.0	89709.0	86177.0	83777.0	92852.0	113032.0	131439.0	167390.0	245096.0	371048.0	561703.0	760765.0	992324.0	1152975.0	1316919.0	1338377.0	1380155.0	1341538.0	1267251.0	1533392.0	10926047.0
EP08_3_R1_p	9796.0	12659.0	13941.0	14323.0	14983.0	14665.0	16662.0	17625.0	23299.0	32814.0	54173.0	105347.0	188254.0	313348.0	457161.0	646126.0	790690.0	941723.0	980451.0	1017329.0	1010023.0	968835.0	1065237.0	10457627.0
EP08_3_R2_p	69688.0	80646.0	77980.0	75882.0	73506.0	69976.0	68506.0	74509.0	88640.0	97812.0	115574.0	161487.0	238055.0	360676.0	502906.0	685310.0	823549.0	976459.0	1020943.0	1078294.0	1072974.0	1019875.0	1272462.0	9061382.0
Se17_1_R1_p	15133.0	18451.0	18688.0	18584.0	18344.0	17829.0	18249.0	19889.0	26570.0	41804.0	70678.0	136415.0	240880.0	389847.0	556330.0	740032.0	879086.0	1006455.0	1032354.0	1049188.0	1023915.0	975995.0	1033290.0	9801986.0
Se17_1_R2_p	67661.0	78829.0	75756.0	72759.0	70787.0	68442.0	67313.0	74329.0	91318.0	107112.0	134980.0	192793.0	289551.0	437994.0	600631.0	777366.0	910693.0	1039648.0	1065456.0	1093839.0	1068357.0	1011406.0	1196992.0	8555980.0
Se17_2_R1_p	13883.0	17137.0	17677.0	18334.0	18071.0	18216.0	19583.0	23111.0	34015.0	57173.0	102715.0	198115.0	337345.0	540757.0	743971.0	970652.0	1118543.0	1252069.0	1261287.0	1252546.0	1199072.0	1127344.0	1159148.0	10531495.0
Se17_2_R2_p	73496.0	86776.0	83201.0	80483.0	77384.0	75673.0	74319.0	83834.0	106344.0	129876.0	173746.0	261222.0	390633.0	592396.0	789590.0	1008106.0	1148301.0	1281808.0	1292426.0	1294336.0	1241511.0	1159641.0	1328900.0	9198257.0
Se17_3_R1_p	16786.0	20170.0	21029.0	20861.0	20469.0	19814.0	20633.0	22267.0	29912.0	46044.0	78381.0	150138.0	263599.0	427673.0	602073.0	797239.0	941447.0	1072372.0	1089671.0	1084513.0	1066451.0	1003571.0	1093225.0	10770265.0
Se17_3_R2_p	73782.0	85716.0	82313.0	79449.0	77978.0	74701.0	72589.0	81044.0	98527.0	114799.0	144949.0	210231.0	315645.0	478372.0	649681.0	837045.0	976243.0	1108811.0	1130452.0	1143308.0	1126705.0	1054828.0	1295555.0	9365880.0
