Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0
Ch14_1_R1_p										15.22785940390925	6.009204723464917	12.78189521275108	6.9787889573792246	16.204310465688053	3.318951294788909	0.9819204922984699																																																																																																																																																									
Ch14_1_R2_p										13.942708713947063	5.298951787331632	11.737660652914977	6.5958124186106835	14.75786687435141	2.7164332850160484	0.8080917983589703																																																																																																																																																									
Ch14_2_R1_p										17.107655328271544	7.324868553363223	14.622791698096172	5.891702775006289	10.915942238187814	2.1453831066163853	0.7938224929365739																																																																																																																																																									
Ch14_2_R2_p										14.859133333876256	6.248073929444603	12.735138732414262	5.469442772017411	9.468820071522774	1.9691239877666258	0.4137850565111573																																																																																																																																																									
Ch14_3_R1_p										11.588375103407646	4.407783517893649	11.262808535507437	8.15191280339809	23.818651357388244	6.143375413062006	4.2569655953748455																																																																																																																																																									
Ch14_3_R2_p										10.878943056968247	4.070702676229245	10.59467910916897	7.794598870353275	21.880470476840813	5.65018315705768	3.196086587348778																																																																																																																																																									
EP08_1_R1_p										8.332053437624213	3.2075045613427484	10.155164206256313	8.434207371821287	28.70603397033858	10.158109674548474	8.032094903439049																																																																																																																																																									
EP08_1_R2_p										8.171535624220883	2.9505468193319198	9.517557849689402	8.113115915580764	26.914283722063963	9.160123166250427	6.803670070298757																																																																																																																																																									
EP08_2_R1_p										8.206175952875922	3.28930009506436	9.192518797450067	7.222800761261746	28.57090273585635	11.328035612887849	9.566012053535907																																																																																																																																																									
EP08_2_R2_p										7.897533928808093	2.9807626828705693	8.377976533924796	7.086162184092341	27.103236025137576	9.925053225100866	8.31952528891639																																																																																																																																																									
EP08_3_R1_p										6.791043188378761	2.6295728406722474	9.30514822777887	8.424907811588476	31.536137480337572	11.902422792677585	9.285355583571631																																																																																																																																																									
EP08_3_R2_p										6.8210772168818545	2.4271959994911625	8.816683114019629	8.108769196794738	29.521159637020162	10.485085623730148	8.001710225283446																																																																																																																																																									
Se17_1_R1_p										16.63013350858817	6.825849322085063	13.953144319677987	6.173752786046757	11.20085585711719	2.5760248367840166	0.7594077617113862																																																																																																																																																									
Se17_1_R2_p										15.172503545995156	6.087026691409525	12.298283255428633	5.6710840405757885	10.048692471453592	2.3884178221699823	0.31426335725723553																																																																																																																																																									
Se17_2_R1_p										17.135687814200537	7.246965782078769	14.81908292348198	6.267266458995315	10.58161581392693	1.9402439787084478	1.2013906247678339																																																																																																																																																									
Se17_2_R2_p										15.37139777410548	6.225908188671061	13.081350889501241	5.746587000014122	9.527480630709727	1.868101119553689	0.5708534366864516																																																																																																																																																									
Se17_3_R1_p										12.223427416566105	4.510261596420547	11.16329878059911	7.31165667839763	21.163980065035982	6.500643024441832	3.9812127693323105																																																																																																																																																									
Se17_3_R2_p										11.340480722836185	4.1619133441784015	10.393152773317954	6.878529653037156	19.537044486732945	6.0158508839191045	3.006239344731442																																																																																																																																																									
